Heuristics Used,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,, Time, Backtracks,
,, E1,,,E2,,, E3,,, E4,,, E5,,
ACP DH NKT NKP LCV ,,0.145371,1, ,0.450995,0,,0.6132689,2,,0.4059138,0,,0.07937,0,
ACP DH NKT NKP ,,0.146512,8, ,0.459831,1,,0.4462631,0,,0.3867409,3,,0.08955,2,
ACP DH NKT LCV ,,0.143733,1, ,0.7220292,1,,1.1539261,2,,0.5417202,1,,0.0782511,0,
ACP DH NKT ,,0.1751161,8, ,0.6766102,1,,0.97999,0,,0.589571,4,,0.0817428,2,
ACP DH NKP LCV ,,0.145154,1, ,0.3255432,10,,0.6525841,24,,0.2400398,1,,0.0757918,0,
ACP DH NKP ,,0.1586611,8, ,0.3293502,4,,0.4480381,6,,0.2273819,4,,0.0788989,2,
ACP DH LCV ,,0.1498668,1, ,0.3191218,19,,0.4892399,14,,0.5428581,55,,0.0827787,0,
ACP DH ,,0.1503232,8, ,0.1969771,1,,0.3086081,5,,0.4964602,17,,0.0883279,2,
ACP MRV NKT NKP LCV ,,0.0930851,0, ,0.7752409,0,,0.7384739,10,,0.3664718,0,,0.082082,0,
ACP MRV NKT NKP ,,0.099859,3, ,0.7931871,6,,0.7036452,6,,0.3926702,3,,0.0808949,2,
ACP MRV NKT LCV ,,0.1011908,0, ,1.0925488,1,,1.4617429,12,,0.519443,0,,0.0987091,0,
ACP MRV NKT ,,0.1022971,3, ,1.0630772,7,,1.4399951,9,,0.474191,3,,0.084162,2,
ACP MRV NKP LCV ,,0.101455,0, ,0.2350929,1,,0.5015111,22,,0.1790681,0,,0.0856283,0,
ACP MRV NKP ,,0.1045549,3, ,0.242419,6,,0.4707959,9,,0.1714709,3,,0.0921032,2,
ACP MRV LCV ,,0.0959179,0, ,0.1699719,1,,0.4208901,23,,0.3889341,2,,0.0818839,0,
ACP MRV ,,0.1015179,3, ,0.193089,6,,0.411382,13,,0.4049709,6,,0.0782211,2,
